 População Residente - Brasil
População residente por Município e Faixa Etária
Período:2012
"Município";"Menor 1 ano";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 29 anos";"30 a 39 anos";"40 a 49 anos";"50 a 59 anos";"60 a 69 anos";"70 a 79 anos";"80 anos e mais";"Total"
"316590 SENADOR MODESTINO GONCALVES";46;232;400;492;515;633;578;558;419;342;188;78;4481
"316600 SENHORA DE OLIVEIRA";68;282;431;530;525;856;822;806;541;399;283;147;5690
"316610 SENHORA DO PORTO";53;221;311;344;334;466;428;402;332;288;223;92;3494
"316620 SENHORA DOS REMEDIOS";109;482;730;859;892;1600;1557;1483;1062;824;424;200;10222
"316630 SERICITA";100;425;620;698;666;1253;1090;858;626;426;264;123;7149
"316640 SERITINGA";25;81;106;148;166;266;265;267;209;151;80;33;1797
"316650 SERRA AZUL DE MINAS";71;279;450;573;505;646;498;440;327;218;153;64;4224
"316660 SERRA DA SAUDADE";9;38;60;69;59;132;127;105;100;56;38;14;807
"316670 SERRA DOS AIMORES";119;544;792;824;711;1359;1162;1002;801;534;400;199;8447
"316680 SERRA DO SALITRE";164;649;890;1001;987;1898;1715;1505;949;565;290;112;10725
"316690 SERRANIA";113;449;623;711;692;1189;1009;980;791;503;334;154;7548
"316695 SERRANOPOLIS DE MINAS";60;272;389;411;422;760;576;551;445;337;173;88;4484
"316700 SERRANOS";23;94;144;184;192;319;282;277;191;149;92;37;1984
"316710 SERRO";281;1248;2041;2477;2247;3290;2592;2489;1791;1148;786;419;20809
"316720 SETE LAGOAS";2751;10876;15294;18147;19160;41078;34945;31264;22846;12655;6640;2918;218574
"316730 SILVEIRANIA";24;88;140;194;204;327;297;319;277;156;135;40;2201
"316740 SILVIANOPOLIS";68;298;415;449;472;912;830;865;707;576;311;150;6053
"316750 SIMAO PEREIRA";29;122;192;233;206;389;380;375;280;198;107;35;2546
"316760 SIMONESIA";269;1147;1638;1799;1728;3246;2861;2199;1631;1061;657;277;18513
"316770 SOBRALIA";95;310;441;601;550;733;730;731;675;419;326;151;5762
"316780 SOLEDADE DE MINAS";97;326;387;451;477;883;826;807;666;436;270;129;5755
"316790 TABULEIRO";42;175;265;329;351;550;521;566;507;349;247;103;4005
"316800 TAIOBEIRAS";433;1851;2672;3039;3149;5592;4600;3805;2814;1756;1198;548;31457
"316805 TAPARUBA";35;157;212;223;266;445;401;440;373;283;203;86;3124
"316810 TAPIRA";61;213;271;331;391;762;613;647;500;255;128;59;4231
"316820 TAPIRAI";13;88;141;142;156;257;252;306;214;163;94;43;1869
"316830 TAQUARACU DE MINAS";60;209;289;360;325;578;581;506;399;311;155;67;3840
"316840 TARUMIRIM";207;772;1105;1350;1260;1982;1889;1797;1551;1194;777;380;14264
"316850 TEIXEIRAS";139;487;705;952;1023;1711;1651;1608;1355;894;592;270;11387
"316860 TEOFILO OTONI";1891;7465;10419;12055;11953;23672;20342;17612;13074;8693;5549;2824;135549
"316870 TIMOTEO";1072;4215;5808;6785;7181;14630;12573;12727;8972;4708;2849;1198;82718
"316880 TIRADENTES";93;326;451;583;610;1187;1226;1091;810;441;226;99;7143
"316890 TIROS";78;291;430;547;532;900;983;998;918;621;341;167;6806
"316900 TOCANTINS";207;747;1045;1323;1382;2523;2448;2278;1702;1233;730;329;15947
"316905 TOCOS DO MOJI";36;132;216;303;296;588;638;672;491;338;188;72;3970
"316910 TOLEDO";80;303;432;521;477;888;867;785;650;458;265;120;5846
"316920 TOMBOS";124;454;588;674;680;1519;1313;1186;1136;717;500;327;9218
"316930 TRES CORACOES";1030;3945;5664;6812;6405;13072;11238;9869;7899;4466;2444;1050;73894
"316935 TRES MARIAS";402;1567;2280;2757;2657;4964;4655;4055;3006;1620;764;309;29036
"316940 TRES PONTAS";749;2798;4026;4986;4803;8978;8504;7272;5996;3388;1951;838;54289
"316950 TUMIRITINGA";97;398;599;703;623;917;819;771;602;476;241;117;6363
"316960 TUPACIGUARA";310;1161;1622;1973;1966;3582;3613;3558;2715;2002;1243;605;24350
"316970 TURMALINA";247;1081;1601;1832;1869;3662;2534;2177;1553;974;611;242;18383
"316980 TURVOLANDIA";38;245;395;399;429;756;690;632;541;331;204;61;4721
"316990 UBA";1443;5302;7258;8775;8704;19061;16445;14725;10957;6174;3520;1640;104004
"317000 UBAI";185;859;1258;1346;1326;1933;1514;1174;974;692;377;180;11818
"317005 UBAPORANGA";171;687;968;1131;1157;1873;1754;1602;1281;737;515;219;12095
"317010 UBERABA";3918;14485;18789;22106;24568;55440;47689;43016;34410;20754;12040;5408;302623
"317020 UBERLANDIA";8119;32094;41948;46654;52180;117976;103164;88749;65393;35726;19094;8439;619536
"317030 UMBURATIBA";24;168;271;253;234;441;369;299;266;179;113;63;2680
"317040 UNAI";1115;4446;6158;7028;7077;14138;13145;10605;7627;4212;2272;880;78703
"317043 UNIAO DE MINAS";60;252;332;345;350;779;718;611;432;290;163;53;4385
"317047 URUANA DE MINAS";41;170;270;346;336;437;465;425;333;230;121;57;3231
"317050 URUCANIA";141;575;841;1002;1020;1699;1532;1328;939;649;386;167;10279
"317052 URUCUIA";232;1040;1564;1711;1488;2513;2062;1331;958;742;398;168;14207
"317057 VARGEM ALEGRE";71;308;507;629;592;930;928;865;673;475;321;150;6449
"317060 VARGEM BONITA";31;112;140;153;155;351;282;319;295;175;111;32;2156
"317065 VARGEM GRANDE DO RIO PARDO";64;272;438;550;545;846;641;540;410;236;154;79;4775
"317070 VARGINHA";1651;6147;8394;10080;10279;22513;20458;17669;14557;7590;3997;1873;125208
"317075 VARJAO DE MINAS";101;398;539;594;555;1219;1062;827;482;278;156;48;6259
"317080 VARZEA DA PALMA";476;2218;3210;3445;3619;6853;5392;4604;3354;1879;990;399;36439
"317090 VARZELANDIA";337;1334;1917;2278;2256;3216;2165;1915;1591;1079;701;319;19108
"317100 VAZANTE";256;1049;1511;1734;1664;3272;3300;3014;2026;1183;593;242;19844
"317103 VERDELANDIA";172;677;952;1102;1071;1540;1028;814;547;356;181;83;8523
"317107 VEREDINHA";67;302;456;547;636;1013;717;681;537;343;186;84;5569
"317110 VERISSIMO";38;203;292;290;317;511;513;479;456;260;152;64;3575
"317115 VERMELHO NOVO";59;249;369;425;403;743;746;645;468;311;192;97;4707
"317120 VESPASIANO";1671;6493;9193;10761;10055;20446;18606;14059;9534;4824;2264;865;108771
"317130 VICOSA";849;3374;4830;5839;6241;14538;11126;10093;8344;4422;2483;1194;73333
"317140 VIEIRAS";60;176;215;306;336;594;475;525;489;263;187;72;3698
"317150 MATHIAS LOBATO";57;228;314;361;378;530;392;380;327;200;104;58;3329
"317160 VIRGEM DA LAPA";156;701;1087;1314;1450;2371;1720;1641;1318;952;603;298;13611
"317170 VIRGINIA";107;430;619;720;678;1372;1284;1171;1045;661;369;156;8612
"317180 VIRGINOPOLIS";132;538;849;1084;1109;1571;1342;1385;1066;702;495;261;10534
"317190 VIRGOLANDIA";62;289;488;601;570;786;622;693;563;408;322;186;5590
"317200 VISCONDE DO RIO BRANCO";499;2026;2750;3075;3260;6895;5833;5521;4006;2558;1567;759;38749
"317210 VOLTA GRANDE";66;273;407;470;438;830;672;702;520;355;230;130;5093
"317220 WENCESLAU BRAZ";28;137;197;201;203;369;367;394;291;191;130;39;2547
"320010 AFONSO CLAUDIO";433;1689;2282;2599;2661;5077;4813;4049;3226;2195;1262;633;30919
"320013 AGUIA BRANCA";129;532;756;854;833;1522;1453;1308;998;628;337;157;9507
"320016 AGUA DOCE DO NORTE";177;637;907;1143;1101;1785;1747;1402;1203;780;494;248;11624
"320020 ALEGRE";367;1499;2180;2607;2763;5051;4270;4188;3396;2128;1400;777;30626
"320030 ALFREDO CHAVES";177;693;905;1005;1102;2262;2255;2015;1636;1035;597;325;14007
"320035 ALTO RIO NOVO";105;429;615;698;635;1220;1105;953;773;461;271;106;7371
"320040 ANCHIETA";331;1367;1891;2072;2023;4613;3970;3206;2492;1456;818;377;24616
"320050 APIACA";101;382;523;623;650;1192;1061;996;842;553;395;179;7497
"320060 ARACRUZ";1325;5161;6947;7894;8093;15909;13663;10640;7868;3863;2070;996;84429
"320070 ATILIO VIVACQUA";119;560;797;833;890;1816;1531;1303;1049;628;358;196;10080
"320080 BAIXO GUANDU";393;1506;2198;2686;2531;4518;4461;4012;3051;1951;1338;627;29272
"320090 BARRA DE SAO FRANCISCO";641;2266;3055;3705;3451;7128;6282;5546;4095;2599;1606;736;41110
"320100 BOA ESPERANCA";179;859;1231;1281;1369;2370;2114;1892;1413;833;483;254;14278
"320110 BOM JESUS DO NORTE";116;481;686;768;727;1637;1399;1250;1141;633;445;231;9514
"320115 BREJETUBA";199;807;1125;1240;1117;2253;1938;1387;1034;483;263;104;11950
"320120 CACHOEIRO DE ITAPEMIRIM";2583;10103;13812;15928;16406;34285;29986;27271;20491;11457;6744;3090;192156
"320130 CARIACICA";5434;21069;28062;31270;30792;66408;57009;46463;34112;18244;9450;4118;352431
"320140 CASTELO";391;1608;2341;2764;2832;6056;5395;5189;3845;2313;1546;768;35048
"320150 COLATINA";1305;5300;7558;8942;9579;20263;17836;16814;12372;6889;4239;1957;113054
"320160 CONCEICAO DA BARRA";490;1879;2617;3032;2785;5007;4249;3496;2517;1499;838;336;28745
"320170 CONCEICAO DO CASTELO";152;646;926;1012;917;2122;1828;1523;1240;746;473;213;11798
"320180 DIVINO DE SAO LOURENCO";65;268;379;429;412;748;667;583;474;258;135;53;4471
"320190 DOMINGOS MARTINS";386;1650;2414;2744;2671;5600;5221;4535;3149;1917;1190;565;32042
"320200 DORES DO RIO PRETO";82;382;553;579;562;1130;929;867;648;387;204;106;6429
"320210 ECOPORANGA";292;1288;1923;2126;1894;3663;3627;3028;2383;1477;940;456;23097
"320220 FUNDAO";248;997;1403;1581;1473;2914;2663;2333;1900;1074;669;377;17632
"320225 GOVERNADOR LINDENBERG";158;620;824;921;952;1881;1736;1586;1125;668;445;190;11106
"320230 GUACUI";378;1548;2215;2547;2513;4762;3968;3627;3053;1819;1152;626;28208
"320240 GUARAPARI";1538;5990;8338;9617;9156;18727;17134;14533;11131;6513;3621;1538;107836
"320245 IBATIBA";348;1368;1916;2179;1973;4107;3631;2780;2106;1327;767;341;22843
"320250 IBIRACU";136;589;840;953;1054;2036;1763;1519;1138;689;407;211;11335
"320255 IBITIRAMA";143;604;848;914;828;1538;1244;1079;867;461;280;113;8919
"320260 ICONHA";149;546;743;930;1034;2249;2080;1926;1484;798;515;227;12681
"320265 IRUPI";176;717;1044;1181;1001;2143;1946;1448;1051;660;385;178;11930
"320270 ITAGUACU";152;619;911;1096;1117;2161;2088;2005;1731;1067;784;349;14080
"320280 ITAPEMIRIM";480;1954;2664;2878;2708;5419;4848;4018;3090;1872;1018;472;31421
"320290 ITARANA";80;457;771;863;887;1802;1618;1492;1221;812;526;270;10799
"320300 IUNA";440;1641;2220;2572;2388;5051;4211;3590;2558;1567;859;415;27512
"320305 JAGUARE";433;1702;2275;2490;2384;4974;3992;2971;2145;1168;640;280;25454
"320310 JERONIMO MONTEIRO";127;544;808;940;970;1692;1582;1553;1140;795;547;286;10984
"320313 JOAO NEIVA";186;729;1003;1196;1357;2727;2573;2186;1867;1016;661;385;15886
"320316 LARANJA DA TERRA";104;459;686;801;836;1686;1710;1608;1205;956;524;235;10810
"320320 LINHARES";2300;9218;12280;13270;13098;28196;23618;18052;13125;6940;3794;1748;145639
"320330 MANTENOPOLIS";212;761;1090;1355;1177;2197;2079;1766;1398;940;610;241;13826
"320332 MARATAIZES";529;1987;2674;3073;2914;5873;5465;4617;3516;2221;1234;572;34675
"320334 MARECHAL FLORIANO";218;812;1060;1210;1221;2569;2445;1912;1492;874;502;261;14576
"320335 MARILANDIA";122;494;723;871;891;1977;1705;1731;1257;802;491;222;11286
"320340 MIMOSO DO SUL";357;1310;1763;2104;2103;4341;3803;3695;2961;1777;1097;547;25858
"320350 MONTANHA";246;1012;1390;1555;1626;2901;2635;2400;1755;1267;740;411;17938
"320360 MUCURICI";68;298;442;507;525;890;782;754;604;412;235;102;5619
"320370 MUNIZ FREIRE";253;1005;1488;1787;1671;3108;2637;2277;1800;1171;671;334;18202
"320380 MUQUI";169;712;1043;1211;1241;2444;2048;2038;1593;1004;681;322;14506
"320390 NOVA VENECIA";653;2490;3499;4241;4333;7960;7208;6384;4715;2595;1632;777;46487
"320400 PANCAS";277;1241;1874;2076;1849;3691;3363;2727;2130;1387;761;346;21722
"320405 PEDRO CANARIO";398;1617;2209;2417;2336;4288;3713;2908;2062;1210;631;282;24071
"320410 PINHEIROS";364;1530;2075;2187;2137;4315;3676;2927;2313;1488;862;410;24284
"320420 PIUMA";260;1014;1439;1705;1685;3107;2918;2528;1917;1158;637;229;18597
"320425 PONTO BELO";93;381;578;692;655;1020;1039;958;724;470;317;161;7088
"320430 PRESIDENTE KENNEDY";144;547;788;983;989;1787;1588;1327;1081;674;360;161;10429
"320435 RIO BANANAL";247;944;1286;1517;1601;3172;2802;2510;1780;953;588;313;17713
"320440 RIO NOVO DO SUL";128;544;796;913;907;2029;1727;1550;1274;715;482;269;11334
"320450 SANTA LEOPOLDINA";148;609;897;1064;1048;1993;1820;1737;1340;782;521;248;12207
"320455 SANTA MARIA DE JETIBA";506;1940;2716;3245;3256;6840;5665;4301;3164;1917;1071;371;34992
"320460 SANTA TERESA";250;996;1444;1740;1778;3667;3355;3173;2510;1591;964;537;22005
"320465 SAO DOMINGOS DO NORTE";117;441;577;653;662;1400;1223;1086;910;526;311;164;8070
"320470 SAO GABRIEL DA PALHA";441;1689;2310;2736;2864;6282;5311;4429;3151;1822;1100;520;32655
"320480 SAO JOSE DO CALCADO";141;509;710;883;862;1504;1428;1454;1225;800;574;307;10397
"320490 SAO MATEUS";1565;6772;9701;10743;10818;20322;17586;14545;10327;5330;2906;1217;111832
"320495 SAO ROQUE DO CANAA";140;557;772;899;946;1845;1790;1690;1252;785;496;234;11406
"320500 SERRA";7101;26188;34148;38690;36951;84966;70669;54465;39407;17996;8494;3494;422569
"320501 SOORETAMA";472;1871;2436;2552;2390;4639;3991;2738;1837;979;552;228;24685
"320503 VARGEM ALTA";293;1149;1596;1813;1678;3360;2940;2688;1866;1039;656;317;19395
"320506 VENDA NOVA DO IMIGRANTE";237;1055;1538;1744;1903;3874;3528;3007;2061;1139;656;352;21094
"320510 VIANA";1000;3908;5269;5874;5675;13868;11154;8509;6277;3042;1518;651;66745
"320515 VILA PAVAO";114;457;632;733;786;1540;1417;1228;853;481;330;153;8724
"320517 VILA VALERIO";159;769;1131;1198;1240;2471;2272;1888;1372;714;417;193;13824
"320520 VILA VELHA";5556;21528;28945;33025;33926;79371;68898;60829;47274;25507;13969;6120;424948
"320530 VITORIA";4313;15605;20218;24017;25797;64435;52767;46329;39566;21689;12230;6196;333162
"330010 ANGRA DOS REIS";2459;9854;14289;16585;15052;31992;30148;24432;17545;9112;4011;1622;177101
"330015 APERIBE";118;475;699;824;748;1807;1589;1543;1224;836;456;226;10545
"330020 ARARUAMA";1542;6002;8627;10295;9841;18024;17206;15845;13008;8812;5052;2164;116418
"330022 AREAL";144;605;862;985;1035;1896;1773;1598;1336;803;423;194;11654
"330023 ARMACAO DOS BUZIOS";440;1589;2202;2643;2314;4933;5153;4328;2941;1536;667;227;28973
"330025 ARRAIAL DO CABO";388;1436;2043;2478;2218;4244;4277;4266;3332;2103;1132;378;28295
"330030 BARRA DO PIRAI";1216;4693;6571;7697;7341;15245;14311;13954;11855;6976;3932;1935;95726
"330040 BARRA MANSA";2342;8535;11923;14713;14277;29913;27257;26637;21411;12412;6712;2748;178880
"330045 BELFORD ROXO";7087;26372;37971;46758;43440;79042;75661;65499;47596;27045;13279;4846;474596
"330050 BOM JARDIM";301;1288;1850;2068;2065;4238;4088;3690;2858;1763;1007;522;25738
"330060 BOM JESUS DO ITABAPOANA";419;1669;2492;3043;2950;5371;5065;5250;4156;2680;1693;889;35677
"330070 CABO FRIO";2870;10757;14975;17896;17133;31924;30124;27349;21089;12483;6311;2286;195197
"330080 CACHOEIRAS DE MACACU";792;2822;3932;4916;4720;9031;8773;7716;5890;3648;1978;921;55139
"330090 CAMBUCI";159;650;956;1120;1064;2161;2214;2191;1830;1281;761;464;14851
"330093 CARAPEBUS";220;762;989;1200;1199;2384;2247;1993;1451;912;480;187;14024
"330095 COMENDADOR LEVY GASPARIAN";120;426;578;697;656;1283;1234;1182;927;637;324;155;8219
"330100 CAMPOS DOS GOYTACAZES";6662;25927;35632;41051;40713;80437;70759;64883;50178;30789;17482;7787;472300
"330110 CANTAGALO";280;1024;1391;1666;1604;3100;2902;2857;2132;1547;886;441;19830
"330115 CARDOSO MOREIRA";178;635;832;993;997;1969;1842;1720;1385;1024;681;345;12601
"330120 CARMO";227;915;1294;1466;1377;2708;2715;2532;2091;1255;763;415;17758
"330130 CASIMIRO DE ABREU";553;2148;2872;3197;3128;6439;5946;5132;3955;2210;1176;584;37340
"330140 CONCEICAO DE MACABU";309;1156;1617;1967;1959;3440;3241;3146;2233;1392;790;363;21613
"330150 CORDEIRO";253;996;1441;1730;1714;3300;3063;3053;2323;1527;860;447;20707
"330160 DUAS BARRAS";144;597;831;930;954;1825;1671;1611;1170;683;379;225;11020
"330170 DUQUE DE CAXIAS";12717;47180;66944;81603;76034;146958;138213;119682;90345;51261;26075;10055;867067
"330180 ENGENHEIRO PAULO DE FRONTIN";134;560;860;1045;1037;2141;2085;2026;1654;1027;580;259;13408
"330185 GUAPIMIRIM";738;3034;4398;5065;4831;9171;8342;7305;5215;3151;1634;643;53527
"330187 IGUABA GRANDE";290;1088;1627;2074;1978;3372;3453;3437;2849;2251;1232;428;24079
"330190 ITABORAI";3279;11763;16534;20552;19091;36050;37297;31694;23475;13716;6590;2577;222618
"330200 ITAGUAI";1711;6434;8995;10589;9513;19811;18730;15037;11630;6473;3097;1162;113182
"330205 ITALVA";152;664;923;988;1044;2159;2020;2114;1732;1313;750;422;14281
"330210 ITAOCARA";241;1007;1436;1643;1703;3445;3330;3448;2773;1982;1232;644;22884
"330220 ITAPERUNA";1114;4507;6437;7490;7486;16150;15361;14216;11131;7173;4086;2068;97219
"330225 ITATIAIA";389;1583;2232;2528;2440;4965;4801;4208;3095;1876;906;371;29394
"330227 JAPERI";1505;5815;8204;9730;9463;17980;15762;12177;8300;4954;2493;954;97337
"330230 LAJE DO MURIAE";92;362;549;678;619;1143;1053;1053;824;567;306;178;7424
"330240 MACAE";3589;12891;16054;17940;17725;44626;38087;29750;20487;9930;4788;2084;217951
"330245 MACUCO";87;325;417;453;409;881;787;689;542;434;183;120;5327
"330250 MAGE";3457;12964;18333;22203;21129;37816;35195;30964;23488;14566;7477;2976;230568
"330260 MANGARATIBA";462;1844;2777;3380;3159;6079;6015;5480;4304;2830;1336;535;38201
"330270 MARICA";1642;6282;8914;10701;10348;20905;22053;19839;16843;10443;5077;2074;135121
"330280 MENDES";204;758;1109;1399;1365;2658;2676;2828;2357;1403;878;389;18024
"330285 MESQUITA";2373;8764;12292;14975;14271;27574;26378;24182;19055;11370;5900;2403;169537
"330290 MIGUEL PEREIRA";278;1074;1617;2034;1984;3474;3435;3638;3084;2155;1283;698;24754
"330300 MIRACEMA";345;1401;1982;2287;2297;4140;3795;3748;2927;1955;1310;623;26810
"330310 NATIVIDADE";191;704;1024;1282;1193;2270;2121;2155;1797;1132;777;430;15076
"330320 NILOPOLIS";1891;7495;10675;12502;12181;25723;24624;22570;19345;11606;6528;2846;157986
"330330 NITEROI";4950;18933;26321;31704;33254;81717;75447;70713;64415;42976;26785;14592;491807
"330340 NOVA FRIBURGO";2042;8365;11936;13755;13816;28821;28350;27515;22524;14432;7865;3970;183391
"330350 NOVA IGUACU";11306;42814;61968;75940;71753;132275;126281;111380;83323;49396;25387;9923;801746
"330360 PARACAMBI";502;1781;2716;3881;4434;7928;7819;7858;5403;3314;1784;709;48129
"330370 PARAIBA DO SUL";640;2181;2918;3622;3297;6472;6093;6047;4729;2978;1788;874;41639
"330380 PARATY";640;2348;3187;3703;3259;6426;6386;5237;3965;2136;1008;445;38740
"330385 PATY DO ALFERES";363;1383;2023;2480;2314;4341;3755;3739;2790;1776;1099;512;26575
"330390 PETROPOLIS";3437;13715;19879;23846;24130;46067;44947;43567;34736;23367;13219;6282;297192
"330395 PINHEIRAL";335;1158;1590;2024;1964;4014;3502;3225;2869;1456;729;342;23208
"330400 PIRAI";337;1233;1833;2349;2180;4211;4403;3965;3079;1867;1017;474;26948
"330410 PORCIUNCULA";265;977;1339;1595;1514;2872;2582;2525;1954;1200;776;435;18034
"330411 PORTO REAL";257;990;1378;1614;1564;3088;2783;2357;1699;915;455;172;17272
"330412 QUATIS";209;736;935;1087;1082;2248;2057;1821;1433;848;468;181;13105
"330414 QUEIMADOS";2163;8080;11446;13903;13150;23708;22471;18651;13603;7761;3859;1579;140374
"330415 QUISSAMA";278;1177;1708;1945;1932;3547;3068;3069;2126;1329;730;325;21234
"330420 RESENDE";1737;6372;8564;10113;9825;21419;19820;17415;13344;7717;3970;1772;122068
"330430 RIO BONITO";704;2721;4013;4931;4685;9388;9242;7970;6037;3684;2080;981;56436
"330440 RIO CLARO";230;888;1345;1650;1432;2669;2744;2532;1921;1206;650;339;17606
"330450 RIO DAS FLORES";127;463;653;811;781;1353;1287;1234;890;618;335;151;8703
"330452 RIO DAS OSTRAS";1849;6875;8950;9900;8993;20855;20752;16318;11532;6096;2913;1101;116134
"330455 RIO DE JANEIRO";76756;291300;400133;471722;469279;1071521;1003958;886173;768200;490688;303601;156959;6390290
"330460 SANTA MARIA MADALENA";131;515;743;890;883;1431;1483;1423;1257;799;487;256;10298
"330470 SANTO ANTONIO DE PADUA";441;1949;2823;3147;3293;6283;6265;5927;4610;3278;1888;972;40876
"330475 SAO FRANCISCO DE ITABAPOANA";585;2328;3249;3755;3786;6636;6181;5553;4266;2741;1599;707;41386
"330480 SAO FIDELIS";471;1786;2470;2959;3035;5746;5490;5381;4297;3133;1933;956;37657
"330490 SAO GONCALO";12615;47008;67349;83113;79441;169197;168097;149740;117310;70752;36871;14635;1016128
"330500 SAO JOAO DA BARRA";446;1691;2301;2733;2891;5551;4902;4765;3743;2594;1375;520;33512
"330510 SAO JOAO DE MERITI";6212;23758;34004;40904;38690;76125;71854;64698;51602;30142;15902;6171;460062
"330513 SAO JOSE DE UBA";88;343;461;531;591;1120;1130;1072;767;555;295;140;7093
"330515 SAO JOSE DO VALE DO RIO PRETO";288;1047;1521;1932;1828;3366;3226;2958;2119;1311;687;257;20540
"330520 SAO PEDRO DA ALDEIA";1284;5109;7327;8461;7706;14724;14705;13038;9337;5786;2916;1149;91542
"330530 SAO SEBASTIAO DO ALTO";118;454;612;693;688;1373;1344;1284;1083;672;433;216;8970
"330540 SAPUCAIA";255;878;1223;1548;1397;2728;2633;2563;2058;1278;685;335;17581
"330550 SAQUAREMA";1078;4062;5557;6557;6513;12879;11136;10726;8850;5895;3009;1260;77522
"330555 SEROPEDICA";1118;4292;6111;7415;7444;14187;12153;10707;8497;4653;2516;1045;80138
"330560 SILVA JARDIM";346;1226;1724;2146;1916;3510;3174;2811;2104;1268;772;365;21362
"330570 SUMIDOURO";196;790;1079;1228;1323;2623;2414;2185;1587;862;494;229;15010
"330575 TANGUA";428;1714;2466;2863;2694;5250;5258;4202;3167;2004;995;397;31438
"330580 TERESOPOLIS";2046;8170;12102;14564;13863;26893;25548;23896;18447;12140;6840;3113;167622
"330590 TRAJANO DE MORAES";140;523;725;865;843;1579;1463;1543;1134;792;500;220;10327
"330600 TRES RIOS";1143;4089;5406;6465;6389;12747;11616;11201;9134;5664;3058;1344;78256
"330610 VALENCA";897;3485;5022;6044;5854;11236;10148;10318;8667;5841;3414;1753;72679
"330615 VARRE-SAI";157;667;849;812;800;1727;1494;1310;917;535;303;149;9720
"330620 VASSOURAS";413;1698;2491;2933;2894;5910;4993;4860;3891;2544;1455;776;34858
"330630 VOLTA REDONDA";3198;11829;16327;19975;20515;43957;38357;38538;34565;18377;9989;4553;260180
"350010 ADAMANTINA";326;1369;1910;2227;2678;5258;4770;5102;4262;2989;2065;887;33843
"350020 ADOLFO";35;159;231;255;268;544;486;530;469;314;176;71;3538
"350030 AGUAI";503;1836;2345;2712;2893;5993;4868;4292;3456;2092;1223;532;32745
"350040 AGUAS DA PRATA";84;336;451;515;587;1149;1037;1100;978;680;488;248;7653
"350050 AGUAS DE LINDOIA";216;791;1099;1349;1331;2857;2692;2467;1994;1327;874;441;17438
"350055 AGUAS DE SANTA BARBARA";89;285;390;515;451;839;820;771;655;459;260;124;5658
"350060 AGUAS DE SAO PEDRO";25;96;141;189;211;338;384;407;337;336;231;137;2832
"350070 AGUDOS";517;1848;2465;3015;3118;6122;5495;4585;3713;2198;1215;542;34833
"350075 ALAMBARI";78;295;417;489;432;909;731;601;526;334;176;83;5071
"350080 ALFREDO MARCONDES";30;155;233;256;297;562;551;564;476;409;258;130;3921
"350090 ALTAIR";65;231;284;327;343;736;622;511;318;246;120;56;3859
"350100 ALTINOPOLIS";182;708;1049;1306;1300;2620;2280;2087;1811;1239;707;338;15627
"350110 ALTO ALEGRE";48;170;223;274;296;648;543;561;513;427;257;118;4078
"350115 ALUMINIO";236;1023;1451;1557;1482;3086;2905;2306;1497;909;463;164;17079
"350120 ALVARES FLORENCE";36;124;188;260;269;490;494;632;541;452;258;90;3834
"350130 ALVARES MACHADO";261;1179;1744;1970;2078;3776;3507;3372;2524;1794;975;462;23642
"350140 ALVARO DE CARVALHO";63;202;258;320;270;1289;974;498;394;256;141;67;4732
"350150 ALVINLANDIA";55;166;218;294;255;481;468;380;307;229;125;47;3025
"350160 AMERICANA";2533;9543;12623;14850;16344;37777;34762;33035;25933;14818;8731;3924;214873
"350170 AMERICO BRASILIENSE";583;2044;2638;3155;3163;6967;6120;4818;3110;1722;812;281;35413
"350180 AMERICO DE CAMPOS";67;237;346;445;408;852;779;851;731;564;302;141;5723
"350190 AMPARO";719;2906;4064;4759;5204;11770;10464;9446;7774;4903;3117;1523;66649
"350200 ANALANDIA";62;248;320;346;372;753;634;572;467;330;223;74;4401
"350210 ANDRADINA";667;2463;3340;4043;4206;8906;8718;8107;6508;4605;2635;1163;55361
"350220 ANGATUBA";314;1265;1734;1952;1992;3690;3342;3211;2453;1536;798;363;22650
"350230 ANHEMBI";95;361;485;549;504;875;899;762;597;384;216;95;5822
"350240 ANHUMAS";46;188;277;331;323;609;539;551;400;272;174;78;3788
"350250 APARECIDA";456;1770;2329;2674;3040;6204;5292;4978;3990;2403;1270;617;35023
"350260 APARECIDA D'OESTE";40;166;264;337;333;549;609;656;594;414;305;110;4377
"350270 APIAI";367;1408;2160;2729;2460;3807;3667;3123;2410;1525;887;351;24894
"350275 ARACARIGUAMA";343;1250;1581;1745;1660;3349;2912;2203;1515;857;403;157;17975
"350280 ARACATUBA";2324;8122;10650;13107;13553;30217;29322;27952;22307;13927;8261;3699;183441
"350290 ARACOIABA DA SERRA";420;1462;2010;2526;2378;4444;4356;3968;3228;2098;1084;455;28429
"350300 ARAMINA";64;238;324;399;440;893;724;789;590;397;264;89;5211
"350310 ARANDU";83;303;448;585;596;972;940;779;676;422;235;93;6132
"350315 ARAPEI";34;132;188;222;220;367;323;385;254;170;126;54;2475
"350320 ARARAQUARA";2591;9403;12261;14721;16174;38062;34158;30593;24999;15580;9330;4745;212617
"350330 ARARAS";1593;5657;7427;9141;9889;21947;19205;17295;13770;8248;4750;2133;121055
"350335 ARCO-IRIS";23;83;109;136;161;282;262;264;237;187;103;43;1890
"350340 AREALVA";86;356;512;594;602;1135;1043;1145;984;776;475;224;7932
"350350 AREIAS";52;216;316;363;349;550;553;488;372;230;133;89;3711
